id,source,contract_id,ordered_at,planned_arrival_at,actual_arrival_at,planned_t,actual_share,gross_t,role
B-2037-06,B,B-2037,9125/12,10585/12,10585/12,1.544146192668182574455105102,1,1.544146192668182574455105102,planned
B-2037-07,B,B-2037,4745/6,1825/2,1825/2,1.544146192668182574455105102,1,1.544146192668182574455105102,planned
B-2037-08,B,B-2037,3285/4,11315/12,11315/12,1.544146192668182574455105102,1,1.544146192668182574455105102,planned
B-2037-09,B,B-2037,2555/3,2920/3,2920/3,1.544146192668182574455105102,1,1.544146192668182574455105102,planned
B-2037-10,B,B-2037,10585/12,4015/4,4015/4,1.544146192668182574455105102,1,1.544146192668182574455105102,planned
B-2037-11,B,B-2037,1825/2,6205/6,6205/6,1.544146192668182574455105102,1,1.544146192668182574455105102,planned
B-2037-12,B,B-2037,11315/12,12775/12,12775/12,1.54414619266818257445510512,1,1.54414619266818257445510512,planned
A-2038-01,A,A-2038,730,1095,1095,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-02,A,A-2038,9125/12,13505/12,13505/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-03,A,A-2038,4745/6,6935/6,6935/6,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-04,A,A-2038,3285/4,4745/4,4745/4,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-05,A,A-2038,2555/3,3650/3,3650/3,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-06,A,A-2038,10585/12,14965/12,14965/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-07,A,A-2038,1825/2,2555/2,2555/2,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-08,A,A-2038,11315/12,15695/12,15695/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-09,A,A-2038,2920/3,4015/3,4015/3,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-10,A,A-2038,4015/4,5475/4,5475/4,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-11,A,A-2038,6205/6,8395/6,8395/6,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-12,A,A-2038,12775/12,17155/12,17155/12,15.8333333333333333333333335,1,15.8333333333333333333333335,planned
C-2038-01,C,C-2038,1095,3650/3,3650/3,9.553754644778437136043480668,1,9.553754644778437136043480668,planned
C-2038-02,C,C-2038,13505/12,14965/12,14965/12,9.553754644778437136043480668,1,9.553754644778437136043480668,planned
