opening_t,gross_t,losses_t,after_inflow_t,served_t,served_critical_t,closing_t,shortage_t,shortage_critical_t,at,until,year,storage_id,demand_t,critical_demand_t,inventory_t_year,holding_mln
15.20000000000000000000000000,0,0.00,15.20000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,15.10000000000000000000000000,0E-28,0E-29,80,81,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.04150684931506849315068493151,0.02988493150684931506849315069
15.10000000000000000000000000,0,0.00,15.10000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,15.00000000000000000000000000,0E-28,0E-29,81,82,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.04123287671232876712328767124,0.02968767123287671232876712329
15.00000000000000000000000000,0,0.00,15.00000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,14.90000000000000000000000000,0E-28,0E-29,82,83,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.04095890410958904109589041096,0.02949041095890410958904109589
14.90000000000000000000000000,0,0.00,14.90000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,14.80000000000000000000000000,0E-28,0E-29,83,84,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.04068493150684931506849315069,0.02929315068493150684931506850
14.80000000000000000000000000,0,0.00,14.80000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,14.70000000000000000000000000,0E-28,0E-29,84,85,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.04041095890410958904109589042,0.02909589041095890410958904110
14.70000000000000000000000000,0,0.00,14.70000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,14.60000000000000000000000000,0E-28,0E-29,85,86,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.04013698630136986301369863014,0.02889863013698630136986301370
14.60000000000000000000000000,0,0.00,14.60000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,14.50000000000000000000000000,0E-28,0E-29,86,87,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03986301369863013698630136987,0.02870136986301369863013698631
14.50000000000000000000000000,0,0.00,14.50000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,14.40000000000000000000000000,0E-28,0E-29,87,88,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03958904109589041095890410959,0.02850410958904109589041095890
14.40000000000000000000000000,0,0.00,14.40000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,14.30000000000000000000000000,0E-28,0E-29,88,89,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03931506849315068493150684932,0.02830684931506849315068493151
14.30000000000000000000000000,0,0.00,14.30000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,14.20000000000000000000000000,0E-28,0E-29,89,90,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03904109589041095890410958904,0.02810958904109589041095890411
14.20000000000000000000000000,0,0.00,14.20000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,14.10000000000000000000000000,0E-28,0E-29,90,91,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03876712328767123287671232877,0.02791232876712328767123287671
14.10000000000000000000000000,0,0.00,14.10000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,14.00000000000000000000000000,0E-28,0E-29,91,92,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03849315068493150684931506850,0.02771506849315068493150684932
14.00000000000000000000000000,0,0.00,14.00000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,13.90000000000000000000000000,0E-28,0E-29,92,93,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03821917808219178082191780822,0.02751780821917808219178082192
13.90000000000000000000000000,0,0.00,13.90000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,13.80000000000000000000000000,0E-28,0E-29,93,94,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03794520547945205479452054795,0.02732054794520547945205479452
13.80000000000000000000000000,0,0.00,13.80000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,13.70000000000000000000000000,0E-28,0E-29,94,95,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03767123287671232876712328768,0.02712328767123287671232876713
13.70000000000000000000000000,0,0.00,13.70000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,13.60000000000000000000000000,0E-28,0E-29,95,96,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03739726027397260273972602740,0.02692602739726027397260273973
13.60000000000000000000000000,0,0.00,13.60000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,13.50000000000000000000000000,0E-28,0E-29,96,97,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03712328767123287671232876713,0.02672876712328767123287671233
13.50000000000000000000000000,0,0.00,13.50000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,13.40000000000000000000000000,0E-28,0E-29,97,98,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03684931506849315068493150685,0.02653150684931506849315068493
